t,initial_BPD_ec_conc,initial_BPD_ic_conc,degradation,Ternary,all_Ternary,Dmax,PROTAC,Kd_T_binary,kon_T_binary,kub,alpha
0.0,0.1,0.0,100.0,0.0,0.0,-78.07156017404931,PROTAC 1,8.54,36000.0,360,3.2
0.12244897959183673,0.1,0.0,99.99749398030984,0.11020527927250662,0.12501099244041153,-78.07156017404931,PROTAC 1,8.54,36000.0,360,3.2
0.24489795918367346,0.1,0.0,99.98935300503294,0.21937539354573996,0.24951424963073188,-78.07156017404931,PROTAC 1,8.54,36000.0,360,3.2
0.36734693877551017,0.1,0.0,99.97515932463222,0.32623574679059153,0.3719946266252277,-78.07156017404931,PROTAC 1,8.54,36000.0,360,3.2
0.4897959183673469,0.1,0.0,99.95451057256479,0.43070914421924317,0.4923349856676042,-78.07156017404931,PROTAC 1,8.54,36000.0,360,3.2
0.6122448979591837,0.1,0.0,99.92701884751926,0.532714476461392,0.6104119143593394,-78.07156017404931,PROTAC 1,8.54,36000.0,360,3.2
0.7346938775510203,0.1,0.0,99.89231506721922,0.6321672817023802,0.7260963033937063,-78.07156017404931,PROTAC 1,8.54,36000.0,360,3.2
0.8571428571428571,0.1,0.0,99.85005316075811,0.7289803441116748,0.8392540232610919,-78.07156017404931,PROTAC 1,8.54,36000.0,360,3.2
0.9795918367346939,0.1,0.0,99.79991428294669,0.8230644423060963,0.9497468073107803,-78.07156017404931,PROTAC 1,8.54,36000.0,360,3.2
1.1020408163265305,0.1,0.0,99.74161153014465,0.9143294526012372,1.057433556237189,-78.07156017404931,PROTAC 1,8.54,36000.0,360,3.2
1.2244897959183674,0.1,0.0,99.67489367401748,1.0026853372247004,1.1621716099888726,-78.07156017404931,PROTAC 1,8.54,36000.0,360,3.2
1.346938775510204,0.1,0.0,99.59955009706934,1.088043815546099,1.2638187922562076,-78.07156017404931,PROTAC 1,8.54,36000.0,360,3.2
1.4693877551020407,0.1,0.0,99.51541378100175,1.1703196654536905,1.3622351695643267,-78.07156017404931,PROTAC 1,8.54,36000.0,360,3.2
1.5918367346938775,0.1,0.0,99.4223656624248,1.2494328353215278,1.4572857361116738,-78.07156017404931,PROTAC 1,8.54,36000.0,360,3.2
1.7142857142857142,0.1,0.0,99.32033683879582,1.3253101539171828,1.5488427652381824,-78.07156017404931,PROTAC 1,8.54,36000.0,360,3.2
1.836734693877551,0.1,0.0,99.2093113764513,1.3978876029380298,1.6367888323953261,-78.07156017404931,PROTAC 1,8.54,36000.0,360,3.2
1.9591836734693877,0.1,0.0,99.08932748831354,1.4671123360861344,1.7210196309487829,-78.07156017404931,PROTAC 1,8.54,36000.0,360,3.2
2.0816326530612246,0.1,0.0,98.96047813043623,1.5329447664844769,1.801446903251868,-78.07156017404931,PROTAC 1,8.54,36000.0,360,3.2
2.204081632653061,0.1,0.0,98.82291072395381,1.5953605515863063,1.878001284106779,-78.07156017404931,PROTAC 1,8.54,36000.0,360,3.2
2.326530612244898,0.1,0.0,98.67682519288682,1.6543520584398175,1.9506345561098168,-78.07156017404931,PROTAC 1,8.54,36000.0,360,3.2
2.4489795918367347,0.1,0.0,98.52247198832994,1.7099298591870236,2.0193219147765764,-78.07156017404931,PROTAC 1,8.54,36000.0,360,3.2
2.571428571428571,0.1,0.0,98.36014764162321,1.76212314747059,2.084062944010715,-78.07156017404931,PROTAC 1,8.54,36000.0,360,3.2
2.693877551020408,0.1,0.0,98.19019107250726,1.8109802855578672,2.1448826704367083,-78.07156017404931,PROTAC 1,8.54,36000.0,360,3.2
2.816326530612245,0.1,0.0,98.01297742661724,1.8565680291343085,2.2018309867424533,-78.07156017404931,PROTAC 1,8.54,36000.0,360,3.2
2.9387755102040813,0.1,0.0,97.82891276144574,1.898970773508472,2.254981996977053,-78.07156017404931,PROTAC 1,8.54,36000.0,360,3.2
3.061224489795918,0.1,0.0,97.63842735314356,1.9382888041095554,2.3044320799435947,-78.07156017404931,PROTAC 1,8.54,36000.0,360,3.2
3.183673469387755,0.1,0.0,97.44196946448484,1.9746363589673837,2.3502976227110293,-78.07156017404931,PROTAC 1,8.54,36000.0,360,3.2
3.306122448979592,0.1,0.0,97.23999899730933,2.0081392650438277,2.3927121485938043,-78.07156017404931,PROTAC 1,8.54,36000.0,360,3.2
3.4285714285714284,0.1,0.0,97.03298131614953,2.038932306487493,2.4318230356260093,-78.07156017404931,PROTAC 1,8.54,36000.0,360,3.2
3.5510204081632653,0.1,0.0,96.82138194897412,2.0671567551787793,2.467788363163255,-78.07156017404931,PROTAC 1,8.54,36000.0,360,3.2
3.673469387755102,0.1,0.0,96.60566122850895,2.0929576114957373,2.500773349789129,-78.07156017404931,PROTAC 1,8.54,36000.0,360,3.2
3.7959183673469385,0.1,0.0,96.386270422307,2.1164814831895695,2.5309475343485515,-78.07156017404931,PROTAC 1,8.54,36000.0,360,3.2
3.9183673469387754,0.1,0.0,96.16364770155319,2.1378742024008677,2.558481610300848,-78.07156017404931,PROTAC 1,8.54,36000.0,360,3.2
4.040816326530612,0.1,0.0,95.93821558860485,2.157279215637958,2.583545201230017,-78.07156017404931,PROTAC 1,8.54,36000.0,360,3.2
4.163265306122449,0.1,0.0,95.71037849624791,2.1748359207550716,2.606304569110363,-78.07156017404931,PROTAC 1,8.54,36000.0,360,3.2
4.285714285714286,0.1,0.0,95.48052127027839,2.190678583341372,2.6269210472727633,-78.07156017404931,PROTAC 1,8.54,36000.0,360,3.2
4.408163265306122,0.1,0.0,95.24900808325499,2.204935415597765,2.645549687352017,-78.07156017404931,PROTAC 1,8.54,36000.0,360,3.2
4.530612244897959,0.1,0.0,95.01618187108025,2.217727969312089,2.6623383127781315,-78.07156017404931,PROTAC 1,8.54,36000.0,360,3.2
4.653061224489796,0.1,0.0,94.78236420713652,2.2291708187406223,2.6774269524177634,-78.07156017404931,PROTAC 1,8.54,36000.0,360,3.2
4.775510204081632,0.1,0.0,94.54785540921587,2.239371317910651,2.6909473845777416,-78.07156017404931,PROTAC 1,8.54,36000.0,360,3.2
4.8979591836734695,0.1,0.0,94.31293502886695,2.2484297078180084,2.703023138970465,-78.07156017404931,PROTAC 1,8.54,36000.0,360,3.2
5.020408163265306,0.1,0.0,94.07786242408235,2.2564391251113536,2.713769390571674,-78.07156017404931,PROTAC 1,8.54,36000.0,360,3.2
5.142857142857142,0.1,0.0,93.84287756183828,2.2634859405804915,2.7232932858598953,-78.07156017404931,PROTAC 1,8.54,36000.0,360,3.2
5.26530612244898,0.1,0.0,93.60820188177321,2.2696499538185173,2.7316941008422435,-78.07156017404931,PROTAC 1,8.54,36000.0,360,3.2
5.387755102040816,0.1,0.0,93.37403922760869,2.275004798355907,2.7390636786884164,-78.07156017404931,PROTAC 1,8.54,36000.0,360,3.2
5.5102040816326525,0.1,0.0,93.14057682980231,2.2796182663523132,2.7454867763913025,-78.07156017404931,PROTAC 1,8.54,36000.0,360,3.2
5.63265306122449,0.1,0.0,92.90798628491756,2.2835527004787117,2.7510415067378835,-78.07156017404931,PROTAC 1,8.54,36000.0,360,3.2
5.755102040816326,0.1,0.0,92.67642451674392,2.286865378112575,2.7557997792244087,-78.07156017404931,PROTAC 1,8.54,36000.0,360,3.2
5.877551020408163,0.1,0.0,92.44603477187212,2.289608860395292,2.7598277034388414,-78.07156017404931,PROTAC 1,8.54,36000.0,360,3.2
6.0,0.1,0.0,92.21694746642223,2.2918313890036064,2.763186060184826,-78.07156017404931,PROTAC 1,8.54,36000.0,360,3.2
0.0,0.1,0.0,100.0,0.0,0.0,-1.7608365881900623,ACBI1,9.26,36000.0,360,26.0
0.12244897959183673,0.1,0.0,90.49394050277094,3.059465748869286,7.478167733407276,-1.7608365881900623,ACBI1,9.26,36000.0,360,26.0
0.24489795918367346,0.1,0.0,68.88042316131802,3.073467524392198,8.078845534951903,-1.7608365881900623,ACBI1,9.26,36000.0,360,26.0
0.36734693877551017,0.1,0.0,48.28313757593746,2.354750195210778,6.385341982320847,-1.7608365881900623,ACBI1,9.26,36000.0,360,26.0
0.4897959183673469,0.1,0.0,32.756354543958764,1.6586662389493023,4.562961752910908,-1.7608365881900623,ACBI1,9.26,36000.0,360,26.0
0.6122448979591837,0.1,0.0,22.092341720570865,1.1391443382872857,3.154812106832129,-1.7608365881900623,ACBI1,9.26,36000.0,360,26.0
0.7346938775510203,0.1,0.0,15.075936219581065,0.7847988865173513,2.179435192595366,-1.7608365881900623,ACBI1,9.26,36000.0,360,26.0
0.8571428571428571,0.1,0.0,10.557388762187909,0.5525688062006232,1.535290699136739,-1.7608365881900623,ACBI1,9.26,36000.0,360,26.0
0.9795918367346939,0.1,0.0,7.679892928300817,0.40333272123553665,1.119693472856394,-1.7608365881900623,ACBI1,9.26,36000.0,360,26.0
1.1020408163265305,0.1,0.0,5.858451329698452,0.30840475921400584,0.8547651213843911,-1.7608365881900623,ACBI1,9.26,36000.0,360,26.0
1.2244897959183674,0.1,0.0,4.7093203403405415,0.2483533387952242,0.686971647638708,-1.7608365881900623,ACBI1,9.26,36000.0,360,26.0
1.346938775510204,0.1,0.0,3.985687817202533,0.21047926049501514,0.5810737413092406,-1.7608365881900623,ACBI1,9.26,36000.0,360,26.0
1.4693877551020407,0.1,0.0,3.5304980976966824,0.18663346204579737,0.514373304273136,-1.7608365881900623,ACBI1,9.26,36000.0,360,26.0
1.5918367346938775,0.1,0.0,3.2443497231659943,0.17163475932936775,0.47240953312547085,-1.7608365881900623,ACBI1,9.26,36000.0,360,26.0
1.7142857142857142,0.1,0.0,3.0645403421665236,0.16220650103271494,0.44602689146747354,-1.7608365881900623,ACBI1,9.26,36000.0,360,26.0
1.836734693877551,0.1,0.0,2.9515813059202305,0.1562820694153404,0.4294471561715691,-1.7608365881900623,ACBI1,9.26,36000.0,360,26.0
1.9591836734693877,0.1,0.0,2.880631652656068,0.15256027433796684,0.4190308329824656,-1.7608365881900623,ACBI1,9.26,36000.0,360,26.0
2.0816326530612246,0.1,0.0,2.8360741129763305,0.15022261639746323,0.41248799744664977,-1.7608365881900623,ACBI1,9.26,36000.0,360,26.0
2.204081632653061,0.1,0.0,2.808093917560004,0.1487545164089566,0.40837878570495667,-1.7608365881900623,ACBI1,9.26,36000.0,360,26.0
2.326530612244898,0.1,0.0,2.7905251254356123,0.14783261755913682,0.40579830600523964,-1.7608365881900623,ACBI1,9.26,36000.0,360,26.0
2.4489795918367347,0.1,0.0,2.779494253536235,0.14725374714990636,0.40417795071328755,-1.7608365881900623,ACBI1,9.26,36000.0,360,26.0
2.571428571428571,0.1,0.0,2.7725687939441532,0.14689029654526692,0.40316056861080884,-1.7608365881900623,ACBI1,9.26,36000.0,360,26.0
2.693877551020408,0.1,0.0,2.7682209552134207,0.14666210914762298,0.40252180726017245,-1.7608365881900623,ACBI1,9.26,36000.0,360,26.0
2.816326530612245,0.1,0.0,2.765491492494043,0.14651885286296704,0.40212078571351245,-1.7608365881900623,ACBI1,9.26,36000.0,360,26.0
2.9387755102040813,0.1,0.0,2.763778049868737,0.14642891930907578,0.4018690285639396,-1.7608365881900623,ACBI1,9.26,36000.0,360,26.0
3.061224489795918,0.1,0.0,2.762702456426501,0.14637246282824248,0.40171098418990625,-1.7608365881900623,ACBI1,9.26,36000.0,360,26.0
3.183673469387755,0.1,0.0,2.7620272814636087,0.14633702283895228,0.40161177240185875,-1.7608365881900623,ACBI1,9.26,36000.0,360,26.0
3.306122448979592,0.1,0.0,2.7616034661237445,0.14631477622500585,0.4015494940008359,-1.7608365881900623,ACBI1,9.26,36000.0,360,26.0
3.4285714285714284,0.1,0.0,2.7613374386258904,0.14630081182127408,0.4015104009788709,-1.7608365881900623,ACBI1,9.26,36000.0,360,26.0
3.5510204081632653,0.1,0.0,2.761170455082827,0.1462920463155625,0.40148586198898656,-1.7608365881900623,ACBI1,9.26,36000.0,360,26.0
3.673469387755102,0.1,0.0,2.761065643440207,0.14628654433243715,0.4014704591269667,-1.7608365881900623,ACBI1,9.26,36000.0,360,26.0
3.7959183673469385,0.1,0.0,2.7609998554951076,0.1462830908154867,0.4014607909210382,-1.7608365881900623,ACBI1,9.26,36000.0,360,26.0
3.9183673469387754,0.1,0.0,2.760958562762883,0.14628092314293722,0.4014547224425521,-1.7608365881900623,ACBI1,9.26,36000.0,360,26.0
4.040816326530612,0.1,0.0,2.7609326447779066,0.14627956255872918,0.4014509134234344,-1.7608365881900623,ACBI1,9.26,36000.0,360,26.0
4.163265306122449,0.1,0.0,2.76091637719919,0.14627870857286981,0.4014485226425369,-1.7608365881900623,ACBI1,9.26,36000.0,360,26.0
4.285714285714286,0.1,0.0,2.760906166791977,0.14627817256161404,0.40144702204513066,-1.7608365881900623,ACBI1,9.26,36000.0,360,26.0
4.408163265306122,0.1,0.0,2.760899758225333,0.146277836131847,0.40144608018650485,-1.7608365881900623,ACBI1,9.26,36000.0,360,26.0
4.530612244897959,0.1,0.0,2.760895735919216,0.14627762497219854,0.40144548902912136,-1.7608365881900623,ACBI1,9.26,36000.0,360,26.0
4.653061224489796,0.1,0.0,2.7608932113316382,0.1462774924379138,0.40144511798873006,-1.7608365881900623,ACBI1,9.26,36000.0,360,26.0
4.775510204081632,0.1,0.0,2.7608916268038497,0.14627740925399565,0.4014448851083058,-1.7608365881900623,ACBI1,9.26,36000.0,360,26.0
4.8979591836734695,0.1,0.0,2.760890632284536,0.14627735704393272,0.40144473894162136,-1.7608365881900623,ACBI1,9.26,36000.0,360,26.0
5.020408163265306,0.1,0.0,2.7608900080901977,0.14627732427501444,0.4014446472020354,-1.7608365881900623,ACBI1,9.26,36000.0,360,26.0
5.142857142857142,0.1,0.0,2.760889616320698,0.14627730370786995,0.4014445896223752,-1.7608365881900623,ACBI1,9.26,36000.0,360,26.0
5.26530612244898,0.1,0.0,2.760889370433034,0.14627729079921228,0.401444553483341,-1.7608365881900623,ACBI1,9.26,36000.0,360,26.0
5.387755102040816,0.1,0.0,2.7608892161034913,0.1462772826971676,0.4014445308008603,-1.7608365881900623,ACBI1,9.26,36000.0,360,26.0
5.5102040816326525,0.1,0.0,2.760889119242809,0.14627727761214174,0.4014445165648226,-1.7608365881900623,ACBI1,9.26,36000.0,360,26.0
5.63265306122449,0.1,0.0,2.7608890584499144,0.14627727442061073,0.40144450762980766,-1.7608365881900623,ACBI1,9.26,36000.0,360,26.0
5.755102040816326,0.1,0.0,2.760889020294232,0.1462772724174951,0.40144450202187903,-1.7608365881900623,ACBI1,9.26,36000.0,360,26.0
5.877551020408163,0.1,0.0,2.7608889963466154,0.1462772711602802,0.40144449850217556,-1.7608365881900623,ACBI1,9.26,36000.0,360,26.0
6.0,0.1,0.0,2.760888981316246,0.146277270371207,0.4014444962930823,-1.7608365881900623,ACBI1,9.26,36000.0,360,26.0
